shop,name,lat,lon
supermarket,Народная 7Я семьЯ,59.9583728,30.3429717
hifi,Miele,59.9584333,30.3346738
supermarket,Продукты,59.9298583,30.324894
clothes,Gate31,59.9301014,30.319442
gift,,59.7179368,30.3990972
doityourself,,59.7436449,30.5850989
doityourself,,59.7438289,30.5834414
convenience,Продукты,59.7204078,30.3986887
supermarket,Пятёрочка,60.0065532,30.1986593
doityourself,Вимос,60.2051223,30.5573489
car,,59.9539482,30.2116727
beauty,,59.9604943,30.2283226
convenience,Продукты,59.9569791,30.2288389
convenience,,59.9597284,30.2283429
supermarket,Пятёрочка,59.9519599,30.216617
convenience,Эсти,59.9542893,30.2178523
beauty,Пивные погреба,59.9550569,30.2131948
florist,,59.9546394,30.2157793
hairdresser,,59.9548486,30.2144126
jewelry,"Ювелирторг ""Аквамарин""",59.9510407,30.2184533
doityourself,Строитель,59.9502307,30.222702
